protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,F_distribution,Pvalue,Result
sll0576,17295447.3579694,25970678.961309,12472541.5969533,8429269.08492771,21112872.495049104,6629926.28091199,9824105.9583623,1899943.65895418,12086941.8487039,20769223.607795604,19699098.5327435,23559598.870328896,20282577.293929502,20668852.441736802,23194636.1919978,22781867.8273006,25771285.9532802,12449331.853912199,28083577.798234005,30237804.634314,2.8617757876729244,0.060374247255169114,no
sll0577,2458937.9561799997,3559747.1420699996,2681539.28755,3133107.47127,3044004.97955,2530047.15682,2760571.54068,3316614.00007,6878420.92786,4262701.21622,5647587.18065,4472930.630580001,6667029.092069999,5013918.21302,5203577.931919999,5529149.25981,5964467.371040001,5818263.839269999,4558893.829059999,5741277.51798,14.047387525252558,5.856667824579692e-05,yes
sll0578,1601906.284634,2394366.603995,1141661.113005,1749982.3841211002,3547458.7282260004,2404744.579037,2841301.805578,1922578.85182,3004458.232919,981194.7682357001,4108368.2695480003,4054740.5323,1845725.9733669998,1246038.040167,3011003.971307,3249932.034991,3091763.5222400003,2364629.93299,2190347.8323770002,2901669.1088,1.2206459463856025,0.34334362837363364,no
sll0585,1468499.99276,1243819.0689299998,992772.748152,1091334.7054299999,842628.176537,884622.8666709999,749179.496787,1306275.17059,948661.7853069999,760435.528502,994650.137658,743930.165642,999870.826942,721925.141029,755684.756581,728378.434381,715337.309398,565614.970715,653240.1108970001,258415.604755,6.206064272413,0.0037458420716361585,yes
sll0587,1293599.59331277,1801171.0850783002,1760526.06269741,1684800.38581219,1753058.40447359,1059278.0459911998,1253289.21399056,928413.592043771,1425684.67309857,1680119.62669137,1277757.77277782,1924003.05844926,1019354.79612963,1605613.24809158,1474898.76981952,1558723.95839426,2083041.92337491,1700641.54571752,2561725.15613508,1829398.29850398,3.676197068693822,0.028038753894289007,yes
sll0588,6772568.2700183,8516822.930538,5229806.493694999,4580406.197976001,6768249.650068,3379140.875913,9102836.982451,2375675.3728529997,1122765.982276,311816.843126,1461992.3042030002,492301.123309,1823503.25609,701068.567316,340747.475463,660010.8945609999,879574.919973,511078.069627,444011.447237,1341468.540967,11.199379141671212,0.00020717164459212325,yes
sll0601,4862001.88196,1003365.770825,1371523.3963579999,1576623.987158,2105907.056497,337663.0674136,1589908.779497,401860.098947,1476589.810245,1275575.684069,1331740.714902,1750065.9318229998,1039887.7539540001,1023941.009709,1113061.001275,873296.6739030001,1544563.011785,634955.808436,1073410.7437149999,696120.302655,1.241801648569226,0.33538580866703954,no
sll0602,1167423.8124782,1995217.277556,1437985.5712010001,1901198.88478,1430818.421937,1235859.061287,1197718.134054,1162710.70398,1623937.424844,1616268.181663,1343868.225776,2352999.448544,922885.346244,2013033.070127,1554921.515711,1302265.173986,2015105.284359,1509827.485497,2546622.256273,1662017.319407,1.7457032898598253,0.19243341247118043,no
sll0603,288131.24017199996,375192.70945300005,202275.676267,145782.27541,299208.11220900004,166229.571529,142528.251947,614173.725347,165981.113505,211395.093579,96728.85854680001,176659.25803499998,178080.848921,190713.370108,271722.868734,111036.708927,136779.870108,265004.505702,208085.271458,241059.92962199997,0.9463978671433377,0.4644170919259233,no
sll0616,2686262.66530517,3080951.18117348,2504948.66396676,2743539.68291237,2888456.67198607,2368960.35784732,2637065.69725945,2070319.57863417,6129950.17938935,7274867.59255359,4414926.70967252,8415730.77505862,3449975.43876556,6788719.11479052,4948464.69322196,4756372.90934662,5768712.11103977,4493367.49436011,6408769.19787447,4859523.85744868,10.731480520630875,0.0002605551741608745,yes
sll0617,18948590.3000283,17062512.5354617,14967687.2187755,15993446.2050725,18030816.0168843,15779751.650823401,23943146.9226119,18011004.1358181,12555415.380406199,9492370.71234176,12661652.6388206,9480078.2430047,14496411.1973986,9934162.87056567,11153639.9944075,11877808.798955198,8707715.74126588,9319602.88369988,6212176.67737213,9343179.5232181,15.389888012642132,3.448885021828061e-05,yes
sll0622,363317.861974,246282.831495,203567.669133,200229.611914,316228.313469,228471.780279,281792.077168,192332.637061,519730.295238,608394.161171,394792.270721,783739.9353100001,470737.55815299996,735330.051479,542215.215845,582809.094352,1034003.255,994295.2564790001,1370235.9455,895998.229991,24.91599630810066,1.7829305165404388e-06,yes
sll0629,16094864.7840647,10824647.68816,7491827.437210001,8365448.09573,9198107.58695,1793194.024965,6478366.9756,4274751.1322099995,5543426.6938362,6663946.2255165,4388854.156262,6960884.319428,4343297.087533,9246553.867634,6035956.9986124,6142509.274874,11474190.997294802,7815389.774788001,11367003.361655,12471206.875547199,4.093680504766711,0.019399829716737538,yes
sll0630,1075339.621183,1111101.056754,1319863.714832,1065797.869901,577113.542943,989912.014176,693591.116793,2704946.88648,1132000.085318,618750.85995,1512490.069008,601966.835652,1088976.972147,769685.929224,720807.609429,843945.8584680001,748571.8561069999,603519.430011,780392.9605729999,758533.906112,0.7217332656835486,0.5904109066698717,no
sll0631,668588.1401569999,695414.12381,513383.107003,509994.506274,588597.6874609999,333114.869595,359328.517815,348644.362442,357054.977542,531389.854358,468568.11021300004,590323.178831,216807.796125,619963.105808,474768.69297299994,337558.628081,845939.049758,337880.589937,688703.8914130001,620534.084754,1.8605663376194623,0.16988430745647642,no
sll0634,463506.77868100005,412914.621092,399579.193172,638260.006862,286994.7098831,431837.92827299994,386639.720959,1119192.447412,2217513.49639,1963371.37397,1605068.6471809999,2386789.603713,1399753.018524,1922705.619314,2086453.10709,1729808.1186290001,2208084.461189,1603771.788001,2085323.1290330002,2015007.1239439999,28.645730660974607,7.231108060649194e-07,yes
sll0635,372332.664214,97966.4075359,177303.35288800002,344123.42336,321970.420848,29293.9372597,31336.9345184,38890.2266685,551494.1873529999,457401.806913,600910.137856,661224.9916399999,81384.72123119999,502049.80368400004,350406.085482,445967.657311,445985.434275,491003.497005,496627.65506400005,510717.283494,8.380506392303415,0.0009273292549835566,yes
sll0638,515710.67377,1567444.3954399999,294494.077673,1310978.1767799999,205792.728915,149749.110681,220081.126496,679687.428058,1526398.61167,1064824.07409,274070.77121599996,932208.867139,967835.2646,990071.238992,725990.131355,137414.94313,185242.73286,434375.460033,560697.710029,520335.272063,1.8518269095706128,0.17149671364860972,no
sll0639,387975.820742,365312.721479,302365.094,317849.67895100004,361731.34481,274649.668892,304975.778826,302334.903254,589662.114507,643352.370804,459836.121929,735688.4482239999,510209.449553,735351.463579,589944.985912,629182.174913,1243621.32876,952430.5898770001,1654926.38514,1299055.98596,28.538549409441323,7.410289318239401e-07,yes
sll0640,236128.32735,394802.713124,395333.999074,363896.08540100005,449244.35072600003,429323.17043,340020.232915,689620.4544180001,486169.282459,476667.11656899995,480272.042214,402463.34246300004,392193.281136,370429.980662,386796.276565,408411.783958,348407.365308,311054.207515,611717.888525,563807.2740859999,1.1786492614314763,0.3596950514628861,no
sll0643,3531764.1610800005,2752777.42326,2343369.430913,2605669.64296,2916595.979,2634643.76068,2414479.8151,2417214.05635,3672604.50402,2563518.44757,3452378.7736400003,1793377.6731669998,3437467.37382,2600642.3328400003,2609422.12979,2847320.83076,1663159.3531459998,1487746.452337,1385975.338091,1064040.897817,6.208133525596671,0.0037403950982797494,yes
sll0644,293915.79849,174778.304844,208753.023299,146357.11841300002,196263.405504,167422.092936,116756.474017,220838.244494,223672.30800999998,209934.26453699998,189503.80546600002,217981.41269499998,192473.725321,211190.641877,217924.89135999998,232482.68737600002,221519.16619000002,263406.214257,195602.97688499998,283645.31188600004,1.3405095219588885,0.30061727868995514,no
sll0647,253870.12787740002,531718.2937340001,345858.264014,345467.451883,337512.1778524,349074.395523,365320.557126,1097648.75719,819784.5350609999,1013761.8998659999,364144.24661,400239.19975549995,866327.464686,636429.6660399999,391500.564282,342082.01291279995,1036078.28528,432776.4916382,794377.741135,1016616.365733,1.3877075315248493,0.28529875818550704,no
sll0659,112170.26680499999,121406.251046,321029.832996,338593.610644,178435.529827,324677.772641,249912.845307,67741.6155766,469177.452852,401578.22619,310685.850755,518147.266891,308443.71665,427460.844904,376543.057807,334861.172367,382472.518456,436448.582897,511060.661517,302489.277914,4.700774858944364,0.01167241920547009,yes
sll0661,1462337.4843,1832345.16825,1374627.80791,1368043.9735299998,2262435.4371599997,1786233.9453900002,1881412.3969,2020379.2042599998,1406602.04831,1310244.54214,1591262.6173,1227521.63562,1746047.68555,1015215.78054,1148733.78382,1466692.46169,670178.6790199999,626179.147121,852198.403455,141972.432098,16.452702618797783,2.324889471164006e-05,yes
sll0680,1236397.5496719999,712925.469954,997832.962304,573043.8892233,889246.3622780001,821226.7649616001,2369679.4730490004,1193703.7822770001,2011537.0229867,3379949.5949428,3057360.1696944,2869246.3099189997,3602536.0595400003,3963048.6411878997,2265427.292225,1674115.6670328998,2950118.6243029,1505373.213244,2168616.0013683,1143014.653601,5.759907956535347,0.005159675781335514,yes
sll0698,3384736.33853,5497075.40423,4218003.30133,5010086.41514,6125683.8595199995,5173912.57704,5132449.64917,5556596.086069999,8517726.015080001,8487020.832910001,7977235.259260001,9902223.91023,7504865.75369,10292915.4212,9567350.39854,8556497.792030001,14928937.1144,8736319.25637,11796180.947999999,15333263.3199,16.470485093438413,2.3099967347649026e-05,yes
sll0708,225059.77318579998,525866.0315571,435417.99399190006,516690.4682497,533951.702068,342465.2730309,597779.465144,298325.42725290003,915185.1045594,1501798.233383,670750.7228113001,996390.9923671,412986.8895789,1101297.8688379999,898370.8175618999,688495.6478817,1746654.7040086999,1189768.159816,1591371.319562,1175040.2954,10.635565516936337,0.0002733294889938697,yes
sll0712,143042.191793,681600.5831,581521.103408,594523.394994,332124.77900599997,565624.704879,282605.04405100003,428426.612187,701396.6679979999,588715.141783,673739.1584119999,526506.198964,529157.7894,502933.255067,494572.81856800005,487314.909596,264023.895147,343292.350268,169220.506924,291304.96753,4.089022391266033,0.019478006576535017,yes
sll0723,110983.762198,390376.67072399997,205046.509375,401692.23008,186194.759429,573698.192485,294922.881489,289843.61559400003,805186.224636,745875.3108600001,531623.383787,675152.883817,636489.939136,140668.046933,575466.527437,580412.386275,323186.58366,1130731.63197,75386.4321268,191368.4363,1.4786957320930822,0.2579776653716055,no
sll0726,3499643.74454378,2546001.35510266,1966338.24873915,2180201.66243032,3495559.97079202,1757936.28837874,2175502.63529636,1545248.31176769,2603148.44442859,2597742.13981242,2073673.35720084,2813075.62482381,2023326.17840297,2877762.69572753,2512274.27256296,2396451.66013975,3750216.37804547,3054408.31279227,4041115.96506962,3441413.0477726,3.3161595314084185,0.03903680298474755,yes
sll0728,3495840.20538805,3781965.20653684,3204499.84832082,3761830.51019127,4286897.33345254,3490435.12082898,3368688.20846793,2904288.85047808,4325175.85343361,4831884.88365672,4001130.96600649,4799481.19172171,4389671.6673358,4580192.69472859,4615699.31493808,4582737.8827749,3710291.01600672,3455545.67563599,4077837.40010755,3246240.59463108,7.771745717242767,0.0013373519311562791,yes
sll0735,6777579.10494387,3250719.55833447,3480754.05901538,5351184.8476693,6664904.04058528,5137903.14653321,6400807.39436812,2311825.4864775003,2959519.49347728,1770965.99503856,1618132.00324322,1573960.49991137,895177.392242355,3443057.31333316,1503010.69408678,2112946.14260717,1264046.36961289,1329568.91958105,1397054.97796381,1239643.25487774,7.403907202768941,0.0016831440433141525,yes
sll0736,252804.85543400003,150823.972699,243226.15651799997,348900.938778,358790.172421,298130.83082800003,174308.79662,468394.677126,147045.755361,244385.944686,250478.23085500003,131708.289666,428744.166108,135971.555991,144900.217623,315850.14584899996,180150.247851,181765.777175,122130.644259,62632.31743919999,2.0583472218420327,0.13742439764746525,no
sll0737,162663.377507,185231.37513,72755.34240560001,174078.06745499998,66544.97458069999,158743.061546,95086.9314089,123745.51163,63746.8363976,205098.404588,95180.1989916,159080.187537,114248.804882,180043.08051600002,92417.5754615,130801.07856300002,149825.16105999998,201001.89083299998,146586.098463,169082.08848099998,0.8711491341517162,0.503871934798638,no
sll0750,672312.701129,432049.353675,1290224.520572,1181893.0557950002,672133.741176,898825.069734,527891.797382,1533487.5573180001,552723.291565,548762.237329,449324.397024,570572.583661,324349.371426,486126.836984,380160.148425,595555.88029,589515.380629,384493.762674,369844.520482,676327.363319,2.501797300601402,0.0865761505641682,no
sll0752,758594.375081,200079.62492650002,357951.20180700003,99942.0747886,382386.264745,469618.953129,708393.604916,728699.77263,459958.705632,485459.67740100005,545576.809099,620344.823674,479236.107425,770999.142966,587636.523724,511255.275862,801288.759769,540688.610001,749482.733665,631617.864445,1.9257927208780217,0.15835090940849203,no
sll0753,3064082.31708,3292708.8130200002,1926342.9764110001,1971167.096314,3153745.5021599997,1774338.79405,3173082.92166,1573001.259659,1175882.3267889998,1037021.2381950001,1491426.293261,799484.777542,1631207.690672,601489.506388,724034.616944,854273.206041,384991.317836,390471.618526,602460.661187,368340.04514,11.285252687707288,0.00019878243260755082,yes
sll0754,2597559.94973,2914422.60805,2261769.40762,2745690.47817,2160251.957184,2127812.09655,1854077.6354490002,2115542.885907,2145605.3796240003,1526185.877574,2428622.92996,1469617.575899,2643741.4473599996,1768703.063516,1755415.1349349997,2091596.848616,1563011.7517950002,1780435.362768,1278012.2045379998,1192090.0429139999,6.319891315210089,0.003459059770753554,yes
sll0756,590794.5779220001,278753.45643,392387.004019,275437.996836,975767.4369620001,300263.883805,552339.1273609999,534638.981822,255479.25311100003,253803.121156,323340.019341,207230.386241,330754.212031,140482.833834,232487.03217800002,297545.56464,220356.524083,580784.800008,604851.249888,700664.120091,3.060042228375805,0.04978509394094723,yes
sll0757,2606817.862433,4516168.04811,2893860.345445,3394300.317629,3157897.4353529997,2679988.614016,2511126.633111,2175560.930652,2609391.1159349997,2394589.745215,2584641.201211,2771380.9760419996,1839048.576356,2106880.194836,1852721.163714,1656848.167831,1547806.500658,1594251.494147,2331432.0538080004,1997209.601511,7.246944802574039,0.0018606353803639446,yes
sll0759,376131.35647199996,285448.936761,302514.216495,310266.346569,286629.230131,244317.19932600003,443536.113346,104553.85558300001,218336.469776,167226.432508,347532.59674899996,104228.759076,259435.77603,119609.823342,135313.100455,103038.886858,80110.4856777,104267.957263,131512.406845,101625.70695800001,3.9746467046543112,0.021512792606099555,yes
sll0764,5670383.16590472,5451394.4916458,4668003.33188847,5106054.68865783,4408764.18824715,4071409.00593535,4263555.48291544,5237693.13526077,2993853.04132057,1961968.94490064,3726585.54658537,2335340.55887737,2487978.68033854,1925153.79500867,2016791.73932607,1862020.02817573,907489.482433397,716257.269950272,1397158.16288791,598894.171002056,49.335432455642156,1.8594657494936295e-08,yes
sll0767,13073660.8475,3655677.94479,2468311.98179,2217152.95386,16222783.1285,2098675.69176,12203587.5641,1384715.19383,2723218.3009200003,3804331.04492,2341583.1562,2493160.95734,2212665.2781700003,2724606.0164099997,3045413.2366,3438233.2074300004,3573146.64075,10558095.5546,21921629.2028,7337550.580460001,1.6462345078383023,0.21453071033855878,no
sll0781,5196031.48828848,6244284.28881825,5219670.21508633,5333021.91603498,5112944.55961622,4083872.05260599,3267631.80118615,4214664.14995317,4276804.92533224,3197141.83646755,3790794.00471106,3209266.79194986,3691282.61168397,3261516.29716419,3944480.87916388,3829188.26943306,3217923.42938943,4017162.19130874,2393822.94608364,2669019.7959816004,9.974393390694518,0.0003833933951115688,yes
sll0807,2369892.8839970003,7499192.324089999,6662428.94864,8920357.20991,7184819.329469999,8518991.520580001,6132360.27359,4485693.359452,5474737.258388,7822889.462633,8486869.2644,7241874.031713701,7809289.096419999,8046672.421561,8015388.389583999,6968587.590860001,8501694.003312,8718439.861801,9724409.2331634,8627082.546381,1.559105551740898,0.23608212601352424,no
sll0810,3054392.7195200003,3257093.12342,5067984.2722,4365596.66538,4131892.0133599997,5943182.61533,3829561.34692,296876.827361,2156.91383456,1709736.54843,2812234.85234,22279.912913999997,4465491.71088,1110420.94884,2665080.46041,3097484.50781,1964934.19706,3466306.01895,2048088.49703,2949919.19246,2.1562682787248137,0.12389044355277493,no
sll0815,69344.27204760001,116288.12883,106278.597676,95142.7795573,96869.2725077,80754.4571166,89352.19667979999,413320.023631,221961.270845,159081.441389,170159.860627,395163.565441,150472.755565,217375.526061,104894.133066,138632.2236,283924.445841,102193.667833,359990.345256,200327.708668,1.3314187887188642,0.3036621132409088,no
sll0819,27128605.92811,10804819.08574,6287796.80901,4299966.55568,11962545.399472,2470432.35154,17142296.117229998,5500033.49598,3847711.25556,5155260.864741,5706834.37906,874829.4684209999,3369912.1573900003,1224993.308978,1330663.287335,957960.4031860001,1293612.721299,930876.7185719999,4866725.766933001,914291.362483,2.7093116991666246,0.07021796315453287,no
sll0821,63123.763363900005,227287.872858,170115.286395,274197.99606100004,295434.185389,372643.715732,355425.269246,182126.105588,303179.647946,104364.822352,623358.8953689999,416808.211396,536318.652143,480548.119328,376206.499259,175030.730913,644369.544498,560783.513146,604503.905045,1261057.7942299999,4.893183757290943,0.010000205617067102,yes
sll0822,923372.3526870001,2825148.96643,1804449.920724,1974435.60135,18653275.151979998,2158401.086993,14357996.456020001,2616348.622079,2604572.569225,2859211.942441,3031067.524756,3077122.370046,3325320.8535680003,3901556.0017160005,3464499.980724,4126837.209229,3542696.773355,6018728.203155001,4349896.9756849995,3220736.453379,2.403585239747508,0.09574353325747303,no
sll0828,735242.380899951,934142.0661844129,387528.92304382205,459841.392744748,619307.6603059571,504348.852577909,491362.332015479,828959.732619837,542238.6041917921,850375.747949159,270382.47614238603,687180.201140309,401850.10901053896,1031961.27302083,784510.118559988,704587.8061365259,442332.21180532296,717798.4692955379,904086.083747052,734059.636661765,0.29310910037339655,0.8778837551328292,no
sll0830,1061731.44005685,3139026.03824992,2059113.06055462,1947134.62423868,1609463.9161158998,1284010.75286601,1411997.95651497,1400394.97471168,1157897.92014949,1463917.79998733,991896.3125806,1504820.21906898,771779.503083384,1198890.85559603,1014607.19234817,869004.617493021,987497.384125766,954307.897113882,1013583.14355216,874141.022929866,4.786492743913515,0.01089145725165756,yes
sll0837,8869973.93064645,13815789.139570002,10572892.0731673,13680200.546213198,13789030.299123902,12031436.471072301,9064557.98019281,21805563.5467963,16501044.224722799,12019061.920384698,14085018.667287197,13295368.554916902,15934573.882778602,13294551.702112598,14860826.4710329,15401533.4495816,16039459.369048098,21140908.640450697,16414667.3831047,16114072.4013594,1.793653093295059,0.18265495365282208,no
sll0838,1405811.916285,1025864.2391443001,973687.262514,897545.460419,822584.4651319999,1130190.294154,638103.7358620999,771087.40663,979456.8741629999,1062223.638429,764094.182082,501017.88638100005,680105.87345,860839.7423302,1123295.271462,793777.4702193001,603657.3373100001,639853.3458742,1044945.3922700001,914260.16936,1.0318412312275198,0.42296322066563297,no
sll0844,272841.353295,1573974.69732,2038246.9904099999,2370818.9081200003,405624.10972300003,2071776.75571,675082.862734,174880.149981,430744.87904399994,453277.50693999993,435606.233011,499676.01721400005,432013.87710100005,569829.646364,555340.582787,522985.51864399994,531057.8073989999,442651.323026,795030.034368,250546.25083099998,2.659169192395175,0.07383270681725537,no
sll0851,38424141.9231,56190567.4166,48764821.5762,52795073.1386,42001996.4508,41152784.0119,36688731.5172,37369258.4322,35411483.512779996,30186668.563,31650001.00421,21802638.28356,28143385.86558,20540883.00882,19791251.35412,20283784.20791,6519523.821885,6300781.52733,14484023.89734,4480819.741847,36.85842585878493,1.3586898120146061e-07,yes
sll0854,9727813.68484,8250597.90753,6375357.67904,166108.111529,8923064.91121,152902.536986,875341.668626,6554091.4233,3650787.89772,6359431.39799,114474.31177999999,32318.948856,1304286.36201,44453.0226454,6303409.69384,122539.53203599999,3813093.07898,4848365.02026,5711587.27434,6198330.25684,1.104364622293684,0.3904888528534848,no
sll0860,1319126.4544469998,498877.88851400005,437991.044107,573287.810049,1437987.9725620002,535795.217242,1570771.215443,745216.006311,1795087.0375810002,1630694.4368709999,1605752.272776,1495715.7886120002,1988122.682471,2256290.829772,1490695.934132,2130253.059704,2741556.657051,2358054.902293,1702717.6705389998,2713294.690996,11.426825936589195,0.00018577743271943134,yes
sll0861,1063561.93065839,1648181.39432321,1012315.6951605,741094.5359668391,985744.1390588409,780171.482927107,839111.27030682,379807.176355872,1476167.49004853,1419223.67888955,1358108.48459048,1776379.5230371002,1292104.12643131,1926347.46741625,1457012.27165367,1570571.58086947,2903955.58189656,2331959.23063828,3115367.43900236,3102939.26325857,28.171345174491286,8.063424072532206e-07,yes
sll0872,11976654.307227,22690008.755075,20031649.324198,32329129.437696997,404957.520061,25054958.970289998,17471212.266464002,61865217.098278,25107813.326602,15935700.467035001,19955707.495711,19387584.394096,25784372.850938,15796038.4873401,22179801.361246,20834138.986997,19199900.900596,34525403.633569,13410550.663243,22533287.370582998,0.12715853696666266,0.9702699574172036,no
sll0873,692538.485938,682226.436443,1047921.56098,829075.544515,1764543.542007,648184.6177325,536139.820696,1041998.9707770001,563154.9634829999,647835.4239,919222.520464,482397.930485,1223577.4736879999,338205.812829,361572.777097,518251.23727589997,206371.74744140002,334616.37484,483654.70903500007,552946.123832,1.7935704578235665,0.18267134361575335,no
sll0877,2116539.11423,382938.29515900003,505614.48462,657208.2908109999,270732.833929,556509.330873,279849.110596,684379.548059,435311.343066,390215.927804,361529.80436,338333.50854899996,334787.0748,429495.626332,316373.84999699995,325598.279072,549373.06597,254468.91825900003,369566.61691599997,412603.45142,1.553201360999188,0.2376221239050093,no
sll0886,1944381.4691020001,2224571.793025,2116591.442109,2306469.323047,1623491.036143,2139628.34614,1864007.1220919997,2782816.5883692997,1966847.949775,1194817.17626,1901531.572425,1304798.471741,2226892.900845,1242385.0593690001,1393112.1485549998,1257342.945952,507380.00813970005,940686.843883,809626.048835,838046.182166,8.971966498341667,0.0006602022257077487,yes
sll0888,671161.56745,660503.978163,215619.734709,787553.917846,596706.989605,738192.922685,566820.979959,164247.646493,328910.091176,133126.257526,572251.564485,358041.143455,290530.59791199997,265654.028812,375375.393219,312530.56313,202470.961402,160145.510101,76580.182563,107941.88292,3.8625366647268673,0.023740883218263356,yes
sll0891,231175.83985620004,2620214.541055,2262032.451798,2289295.20715,243723.051386,1740481.0177459999,1736671.9286841,1420747.615734,2083302.733323,2264146.841773,1837668.209905,2537890.678508,1231763.3753620002,2519245.0567139997,2085178.602595,2084656.1397060002,2814421.738065,1943870.070775,2470188.106343,2098955.028911,1.4560123055035536,0.26452691228369685,no
sll0897,4305256.78004442,4132552.15404389,3480813.08006091,3803201.2857737998,3693797.49721668,3263378.91479973,3161061.62867167,2365139.43835521,7763310.61268664,7411235.20953425,6311835.31498627,7802574.89855505,5801575.55857047,6930071.1154208,8484457.97279603,7483608.2464041,12574789.9163904,9749046.62007348,8623531.96596935,10960650.9688311,34.62157075484267,2.067368834935372e-07,yes
sll0898,342636.768936,95807.9357096,78029.84089179999,82991.6979125,214293.90714300002,74482.243824,177088.72648800001,140131.007453,106462.874117,123233.269398,65716.6472478,137213.449643,91228.9637212,64223.26366139999,54415.78054169999,85993.136109,32674.7469991,24835.459611200004,76864.02038660001,230372.99225100002,0.793716985452756,0.5473777063441834,no
sll0899,434976.85100699996,254011.653689,286913.781764,324027.659323,61071.1398184,147633.941378,121396.28679200001,596109.443493,307477.66084,247136.191135,120394.816804,163553.060626,151761.610208,168306.88274,376425.382193,168596.55009900001,347901.173284,241108.198025,267933.141741,210498.518504,0.5090563402724393,0.7299946587332502,no
sll0900,6137527.51608153,5338597.77779249,4020509.94299721,4179324.28655951,4640914.21301931,3623889.75425976,3527304.78340947,2893027.69985847,4937313.80880689,3124151.26883322,4319606.92673807,3243218.8139938,3494769.60128732,3907344.24885947,4342532.10485243,2412010.88509929,4153354.51127406,2070717.90107901,2211199.72056826,2412581.13590077,3.2152876455516033,0.04292722074900504,yes
sll0902,834932.612112912,1354727.09655039,1963425.73104139,1400896.38709497,812271.6986783621,1312722.2746514,1117883.01931626,2260381.09587099,889599.485693211,611324.8042240461,1096069.52138319,489235.055749187,1524161.52445231,382233.31210783,420245.067426461,540860.33778882,288761.026722083,296780.703379698,248349.90737588602,197223.69013697,4.760656962414213,0.011120482876072863,yes
sll0910,252191.532412,206334.99136800002,124980.085745,152543.8107,975093.473403,829221.455432,781917.573404,1328677.21546,1213016.62855,93767.0211369,766280.26732,555912.464815,1360621.6898,268353.593425,478461.166959,1186986.18939,453178.381275,1216033.11604,101996.13444299999,462542.41669600003,2.31843769962262,0.10455580967010175,no
sll0911,886524.4477997,1554221.258613,1585085.470525,1768911.822853,976303.945275,1401911.16649,1170761.8002219999,1096653.402147,1275982.261477,1291745.9264530002,1053216.8347729999,1030899.161232,1211749.270561,931788.3189157,1422706.455649,1159578.7549834999,1163070.6557517,1794338.920332,1199743.4916826999,1969822.095891,1.555575789324579,0.23700154381320215,no
sll0915,4984526.17136402,5121172.56837498,4896556.60592365,6110918.33691208,4764948.96154598,1673536.98787764,5186630.31463503,1598998.26166035,3769267.78418165,2444317.50280042,3305334.37712323,5610917.58009871,6014120.56424265,6293780.27801145,6369425.29028253,6107279.16083205,8466475.99253238,9595658.21107222,6118243.10846731,11883378.983008198,8.880450146495097,0.0006951605053821368,yes
sll0920,2055940.57851698,3148448.89337747,2513927.39027739,2684964.89111482,2363571.60448394,2836394.01056981,2371159.39786746,2438206.1613573995,4357779.23540322,3861590.6065599998,3031384.26873676,4477853.32046536,3090923.47097759,4182751.17160401,3614921.52020233,3270082.01995406,3910910.94662064,2880066.23097935,4630452.59417772,1390096.3091119,2.5697038735538964,0.08080248845722798,no
sll0921,2987852.2548950003,1574449.3585299999,1920235.624304,1326072.305369,1063851.961718,756579.5136808001,923678.316935,793397.7839119,2329412.418231,2441793.077228,1572738.425934,2762552.661221,1682801.63948,2550378.947161,2122672.501691,2037080.496323,3512596.968301,2852386.872663,1898287.0759069999,3317724.978699,7.327269605036025,0.0017672965046948372,yes
sll0923,2021988.294804,2143767.89228,1425801.2998290001,1680231.845337,1710686.467862,1127975.951708,1276040.849417,894261.4932489999,1510427.711582,1771157.9724240003,1615212.782567,2012594.492993,1236773.440673,1855060.8979180001,1495921.168406,1472419.337575,1993531.7474599998,1278242.273173,2035120.7845939999,1504763.7141540002,2.1270541551453594,0.12777034486533947,no
sll0925,259242.85089,534989.929585,146478.37888,514018.715246,301603.597708,155754.282091,249125.97007100002,708030.229758,400296.000957,322583.969849,429535.64963199996,420920.453837,433569.965879,443360.144355,411176.03072800004,423357.338313,550861.108711,655808.83053,375167.00813699997,434352.839387,0.6455841605313483,0.6384784349237359,no
sll0927,1500777.79495216,1806205.94761678,1365742.16287539,1549165.34603751,2240077.76232021,1314978.67483721,1729593.00739656,541872.849638546,16148531.2827072,16798858.1515587,8071035.26203525,20660969.7224534,7591302.61158944,18593139.7989849,11945740.3495004,10508067.4474652,18493559.6513654,9079357.8189725,18004624.5239692,15202798.708885001,14.638225981098904,4.6179474960634895e-05,yes
sll0928,30171133.310234196,60055305.9430359,57179488.803677194,57022023.8001778,36631978.3563083,43841499.4601636,38869561.576038204,54754042.107870504,37011556.2955208,24953760.427894298,39050249.140695296,22372859.6367114,42485779.3101543,22224345.7394839,24401372.046387,26722533.2741168,15456279.7179011,17952483.4986363,11715322.7028333,14301996.619348401,9.260461065042952,0.0005623550970728834,yes
sll0931,254438.11826599998,297839.951249,135663.711949,185304.738892,245695.714483,293970.865017,260597.07812399996,180173.351292,191291.395194,515232.38616099994,69144.2223281,164170.055034,73228.2984732,161420.847279,478925.211463,574868.011006,199704.972699,395287.885452,208599.97821,295157.479811,0.2966305124423101,0.8755904257079893,no
