protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,F_distribution,Pvalue,Result
slr1691,166877.206621,275929.390842,117915.046344,84093.38994780001,167835.65966,229898.421514,123867.14531099999,724101.406083,154138.08215499998,115633.997561,95522.013319,141601.021274,197162.108718,111747.12091600001,135824.975796,96392.50164860001,169367.25790599998,123404.30173800001,41742.881425499996,190568.447643,1.343285813370825,0.29969355420203475,no
slr1692,335625.06633299997,221316.815206,157846.000504,120270.411146,123282.68319000001,192054.472266,121800.368255,254008.30376100002,276588.493194,354015.144871,234133.68664099998,336602.48709899996,161372.15433599998,255949.881146,231871.874273,197124.766539,166694.020906,123061.87118199999,308541.226337,135498.741291,2.026686609039016,0.14213617780517668,no
slr1693,1122571.7821280002,1893571.161169,1407890.4692280001,1203738.4594100001,1324687.9730200002,887399.4410440001,1004135.998099,506442.21198900003,1472481.4654319999,1708783.767758,1230482.656351,1832251.450718,922198.569585,1697049.389136,1458770.127595,1320443.850612,1868632.2759029998,1364515.550781,2541971.72032,1743081.7163919997,3.6521124939724743,0.02865514098895947,yes
slr1694,2400453.4112,484051.46882700006,222499.84206799997,202604.92059300002,2224595.11245,194496.440649,1394860.75205,275300.2262,218843.18276799997,207031.975273,225045.491084,336785.64359299996,327059.80960599997,511253.74882,376238.351157,531070.6555649999,601757.0289060001,776470.300933,702844.653664,504648.89621899993,0.9038992712641756,0.48635776133097364,no
slr1697,497190.54378790007,531328.3384380001,383160.775299,672306.253286,646944.6610770001,347121.73215620004,403942.286994,940202.484284,298341.711572,464735.02186000004,642948.2566109999,430584.33583999996,386879.691495,509446.31639399996,465829.480848,286512.8874121,390311.79719,426569.315864,361897.170466,546562.008607,0.8087273606334464,0.538715246257804,no
slr1702,749166.6367506591,3018890.83524621,1714500.62478255,1965014.53436909,2554327.68755942,1796484.45665415,1924046.83547519,1471665.40757884,2249888.51746527,3114015.77667377,2192930.25319342,3280051.20531356,2174914.60260386,3546241.31533276,2761856.80896176,2679794.88147843,4685200.30369403,3997180.44671572,6845789.87579917,4503954.23649605,9.819440127001071,0.0004159589719375311,yes
slr1703,4404655.85028512,5927241.73123672,4539551.30949457,5010494.39049225,3547909.63297909,4069823.50918921,2857818.75653533,3124730.98549303,5511069.45801338,6311257.23586409,4600605.80035545,6975234.61961796,3855197.95037786,6742780.13178202,6457137.35668677,5424682.67820789,8121089.87966412,5489731.29207751,9899723.76547865,6726156.67002774,6.382950893952432,0.003310892534703567,yes
slr1704,1040991.802368,886946.9006139999,837988.674033,913148.7904379999,818244.133637,1892889.395059,1267657.4900329,1387214.310582,1473810.795228,1193754.463188,963928.2987879999,971838.197561,830430.382966,828903.181508,571786.2987319999,966594.727392,1061086.254292,1720795.5524669997,1161241.860515,1121344.179678,2.771231205762364,0.06602106183235817,no
slr1706,343254.09435100004,124596.674641,234771.50534899998,179049.48638800002,158539.02243399998,166392.75036099998,181311.131452,327352.00924600003,267283.45722,135672.245358,163739.048678,82229.195611,184682.345906,72679.7446967,87383.8995352,147933.146691,216132.76384099998,99171.2898037,460306.811097,175759.87833,0.9108744110560879,0.48269584667765086,no
slr1710,118898.87009200001,245789.890252,164345.349853,132439.251221,111917.704624,95189.3639034,105191.477116,98420.6848364,159113.097205,182258.75796199997,119179.516403,124671.87010799999,113113.700581,153096.789184,178161.49123800002,162866.608419,312175.37480700004,193609.76892,355456.121467,287914.338579,9.966538150705405,0.00038497313621757665,yes
slr1718,5292500.562273,4798065.739715001,4458005.3290800005,4790325.9222800005,5861700.921273001,4708614.90421,5429891.65264,1320063.757182,4265374.22143,3695041.0227980004,4303565.647221,2045316.1466849998,4336910.077937,1963427.432122,1855356.5818959998,2543446.5499400003,799799.7941350001,874135.222711,1154370.218065,435174.55599799997,7.277364511949578,0.0018246473418432896,yes
slr1719,5346998.83494569,9565140.61974207,11618824.102950599,9986434.94629895,4205379.66082968,11291407.1182711,9866837.57630192,12049273.9894416,3113926.16306477,1847277.82928284,4403160.78776654,1656491.4891176,7074233.04307199,1980069.6081138,1937262.34184414,3406731.65134733,1557869.30962412,2010646.12519698,2157113.8274797,2221322.84755538,9.421735838774698,0.0005148645627592461,yes
slr1720,5433685.70386924,5043584.75738945,4474315.13158806,5117124.95682522,4582118.94784527,5002629.53321075,5130528.8610335,3607164.57849978,9215687.70619905,9202685.08441789,6963536.976583901,8233901.14389583,6656598.20398306,9932572.04716069,8770780.27399462,7813261.32164653,9654464.86511013,5588852.57670831,7317278.53873118,6219638.08490681,9.41587512220788,0.0005165088241940322,yes
slr1721,4895345.19608,4869902.96781,4600334.956590001,4461130.19534,4215133.3596,4365236.7964,4201373.32587,3571204.18695,173164.294657,102911.696219,1285789.3770899998,582537.710686,1289044.80476,101157.661866,994875.297118,780513.81568,618007.5073439999,741558.1121939999,670486.716761,258684.25157300002,112.64701336796827,5.3402928400346177e-11,yes
slr1722,530122.831792739,1410711.11896125,2540301.66731148,2044619.57444264,978500.7877192809,3599003.87963425,3000104.01860316,5188854.23157775,1327322.2272533998,889446.338919026,2204533.99539816,607230.0942753489,2209822.56440207,584160.526190188,1387577.33204426,649070.54000914,647704.663703709,905267.816212475,668593.448080451,1089891.74871532,3.4738390244951574,0.03371773648005981,yes
slr1724,128960.616729,808330.289752,675953.6330220001,810858.425003,498459.205443,639281.714187,98714.64388830001,172538.74980299998,935004.124491,1110327.44679,682166.4799350001,1268567.91868,583539.70708,1058487.99606,912744.4667049999,778520.445188,1294350.3200299998,935690.7510940001,1280544.3916200001,1702586.02513,7.085326361111271,0.002065806739062951,yes
slr1727,2432577.16216,1256342.899613,1027743.732339,933576.144804,1773047.2225209998,659062.9625189999,1577193.869184,761075.003694,1519485.203033,1434425.805472,1099753.3336959998,1618848.740842,1017202.27363,1850273.041553,1330589.318151,1279085.369118,2101645.4409849998,1634989.709645,2430189.563728,2059438.073427,2.0181178195266702,0.1434411941924362,no
