"","protein","X60_1","X60_2","X60_3","X60_4","X100_1","X100_2","X100_3","X100_4","X200_1","X200_2","X200_3","X200_4","X300_1","X300_2","X300_3","X300_4","X1000_1","X1000_2","X1000_3","X1000_4"
"1050","slr1363",7114454.26359182,8970202.61727524,8484322.10562133,9414193.94257658,5845590.91518665,7924845.22700115,6009705.96850468,8861932.42311074,5962235.27573454,3859875.40213675,6444655.38913191,3653234.64814372,7312004.75074784,3047399.40550047,3679182.49201793,4412775.9366276,1969402.49972211,2679314.07767712,1924160.4654233,1957789.48791101
"1051","slr1364",439235.4767241,602379.759618,317856.204868,519728.34514,652998.9919003,445167.933789,541286.260911,962103.870125,837221.50536,849507.246541,841123.560598,765932.284071,1049244.722276,864086.506234,815058.966493,645626.267818,848851.031382,983418.760595,1218247.167398,865343.449288
"1052","slr1367",2718551.18258296,2874735.1883421,1969785.691013,2114943.26024946,2217074.69068043,1531448.97627509,2083243.7973425,1698638.87939938,4161458.38865732,5426624.95945073,2153043.69687719,4856363.62693388,3475648.36364425,5888637.18002865,3647077.1471286,4473853.32225776,9872156.6302976,8574285.88496028,10523467.3708575,8424921.64060747
"1053","slr1377",3532990.7398983,2549104.281228,1653191.960334,2042916.058916,2370791.31204,1548898.506164,2029435.256347,1485120.30412,3023203.326849,2379178.7810953,2606144.376727,2734552.730434,2297418.5134185,2769830.044221,2708430.442794,1300922.335053,2304771.519834,1741721.905031,1856936.4563838,1342443.693568
"1054","slr1385",3803187.20096,4046179.09021,1393724.067021,3014206.839268,2964088.4609,2732149.772409,2006458.087381,2551591.222805,4399778.627868,3904041.676799,3567971.126174,3645781.652575,3859047.625717,4811748.013527,4935110.063282,4300327.743282,6625470.539322,4841793.044802,4559470.900299,4880056.639377
"1055","slr1390",893503.499794,649722.250998,253140.0347292,582755.624641,813399.789408,390160.146962,549506.806434,414904.719096,590721.284444,680670.770174,649969.695613,861931.665562,562372.515994,853661.920267,672745.948463,742230.450715,571732.607306,368259.519977,940894.704474,364152.897309
"1056","slr1395",738183.206067,738421.913617,551722.395615,583920.216068,532847.0963366,470291.913213,453882.868952,671761.346507,562216.855739,789674.954281,571093.026734,619776.361778,329505.622784,526738.199806,737248.336559,417426.28757,497105.398377,794438.413866,693553.501131,355122.6624496
"1057","slr1397",1882900.93897,1851518.51781,1574816.00288,1816080.3224,1568660.48441,1438761.34256,1455279.88928,1996327.24312,2009512.43879,1507521.59589,1867441.12427,1393934.59731,1775707.50753,1375085.14872,1918051.91739,1418471.28933,134658.746044,1105211.3028,654854.369831,862313.152071
"1058","slr1398",156331.097371,397768.545259,227366.670377,265815.508251,160204.331182,271705.895808,166496.862785,253662.925544,245144.690085,248925.698512,283103.665356,222813.820868,190878.60161,181256.692762,176112.671543,177623.95104,91501.8277759,64051.2972762,71062.9795375,222068.9016
"1059","slr1406",92400.0433969,349252.854397,380964.770906,645568.388148,263745.755346,707148.459418,456815.201546,1969624.57044,3736489.03449,4030461.181,3476259.08632,2860705.91644,4087696.98335,4023936.52809,3036469.53939,3416313.65765,3624811.72723,3851234.30345,892680.844479,2128172.63992
"1060","slr1407",766345.776517,524682.699714,640664.550976,814960.140289,939081.7418492,872414.935895,826786.539825,2507938.3358,1166479.917671,1040798.18689,1359221.592081,1114907.497893,1784019.234119,1399164.330696,1247702.389124,1388191.944675,1641475.633988,1546137.166167,1099488.9688487,1598023.739906
"1061","slr1409",3146291.03848,1751261.75145,1966469.34967,1781939.600821,4383904.43356,1538407.836028,4348829.74727,1592348.016164,1514357.963338,1301778.73272,2062357.901361,781832.753314,1744153.413796,1013940.527465,1402566.926813,1553826.659575,1017147.692242,1923092.574849,2831016.252283,1657755.41336
"1062","slr1410",3249325.2793571,5380352.39754932,5173595.38984679,5497031.32731778,3842084.81371771,5403699.64609386,4467017.76586977,11833755.5762727,3243875.77263108,1679559.96783738,3225966.73534629,1627048.2919846,4097046.46516242,1142143.34820088,2297678.85551591,2275396.55569434,1191656.83046538,3242538.922228,639059.727458384,1222311.77539242
"1063","slr1411",604640.104546,589171.475975,413162.257129,439252.185559,565017.568913,342063.696737,508985.598161,177431.648337,505721.927036,565283.466677,395884.200388,540288.149029,349303.524365,493196.149531,516229.957111,379770.115725,574193.231558,545330.114809,877067.362044,544356.93137
"1064","slr1416",1430069.1179788,2275037.07488,1867251.4658175,2110209.73944,1797756.516864,1896896.3022435,1643086.121317,1866586.387577,1843427.3520363,1810998.10932,2811217.4005499,1421418.406126,1681879.543927,1654380.722412,1627600.7333004,1670126.678491,1859352.6940267,1545630.367672,1397910.149273,1567944.418177
"1065","slr1418",194703.572176,278340.975105,326030.870762,320260.675118,279842.51651,181935.927287,182082.417459,129490.140338,1373300.5386,318620.0055,387605.272132,394843.969439,293095.228098,214834.747065,828181.75641,758789.787756,660481.30288,484880.82772,703094.1249,402706.12639
"1066","slr1423",1427675.94848,2180664.11811,1956705.74809,2000129.73978,1794531.28328,2346108.09254,1930619.08618,1593064.55539,1078126.36829,690329.210147,1442393.37128,437491.463379,1414666.77454,374260.497663,413758.310583,525171.832859,130548.525258,248535.681092,417376.037252,145020.719283
"1067","slr1424",738535.999076,658463.300704,1379114.91325,378826.16311,562248.160282,117217.474311,313680.519406,242667.441064,547361.330973,1305203.26686,710415.929138,1281750.32764,527289.173876,1191231.95009,666905.092681,935836.709641,733239.030102,187220.981446,1635654.01018,597201.827715
"1068","slr1426",141779.758211,262309.024831,352473.087134,106627.950343,192594.39465,215848.966387,166249.09216,229626.306152,285777.759925,265727.504046,201442.305509,179603.882191,136600.753823,331496.142454,188384.606172,179099.926352,284437.729207,201459.790662,241266.593845,231960.88168
"1069","slr1431",857437.663462119,540455.609290072,513180.129148375,701608.060341936,623580.449262487,770838.844481888,443765.119882177,918248.993057205,1223448.97964415,626422.600118961,1277986.55223262,566109.934883139,1585342.46468023,671116.005969577,801299.788215241,765563.080474306,333716.698866823,436117.333386119,381904.129100574,340909.360703594
"1070","slr1434",2826743.055381,2287864.381637,1935287.540502,2645024.74235,1494218.21812,1705829.684723,1345189.729121,2540958.689666,3491081.33512,2690010.33829,1148995.055754,3674478.95577,2912781.33017,1572117.389361,3195051.86906,3264632.13931,2607411.06107,2923265.036587,1879320.110611,2423027.73142
"1071","slr1452",161075.128807,354217.218837,94249.8614824,35014.3087669,138136.360788,407164.353064,49089.4599987,328190.598701,617426.502661,616417.596305,596909.58813,415376.918598,143272.672172,340624.565514,378155.950865,343600.339341,281759.593459,293977.056474,363929.309652,324422.367327
"1072","slr1459",3077204.54202518,4267359.16588686,5451215.56400198,4195726.42971073,4660583.97870726,5646865.40036115,7078597.7713859,13316676.9829218,1818636.92707958,948637.290728383,4955439.29367395,761111.966537307,5826764.51064806,837657.219000495,750551.495811365,1158434.96585334,611981.739121721,1645823.79543394,847564.013063674,2422701.33619151
"1073","slr1463",14693245.7643827,16179506.3697324,11515587.8245983,14458431.138678,15427616.7253439,13292421.1282962,13332771.5779919,6641527.83270446,36504434.814135,34597250.6552258,24401413.4393197,37731433.9196953,24107832.5495852,39460297.2025618,25230050.9437988,30079782.025319,42092151.019714,16072597.5335548,37509394.2375263,31232744.6264879
"1074","slr1468",50604.7176491,190310.193275,123909.186654,146099.920627,67754.9523698,137485.683541,95417.4666979,95963.2981688,269603.878762,267462.115098,206620.234898,275014.60026,170632.270815,278108.604177,266573.46071,219324.665845,337831.804735,310884.384419,380292.992934,306233.873334
"1075","slr1471",2360207.81477,2151311.76047,1243154.019393,1654563.595028,1509281.877604,1548528.431354,1658567.009538,1347709.112306,2016972.1301969,1967522.329403,1823904.77056,1690055.817458,1742540.9469457,2010012.988794,1728438.553165,1811617.928143,1815260.822787,1295397.766877,1789742.171172,1721971.337772
"1076","slr1474",118432.086559,198300.864633,202950.802736,104244.967487,152166.59576,136998.170153,119627.763971,202325.461413,173413.196383,157098.271852,157265.142696,128084.068214,135804.517031,78446.9462257,127434.390504,146401.206782,132086.426429,232140.144777,432288.54543,213275.034516
