,protein,X60,X100,X200,X300,X1000,Localization
410,slr0585,6228665,5799044,1285137,1184515,1012162,Cytoplasmic
411,sll0408,2788515,2531840,1432444,1178859,5515890,Periplasmic
412,slr0557,3853718,3090384,4911064,4314302,3050337,Cytoplasmic
413,slr1535,1252876,590826.,1336119,196505.,345349.,Cytoplasmic
414,sll1502,9326787,5795709,7768767,6628560,5047226,CytoplasmicMembrane
415,slr0898,7324553,5774496,8887866,7726535,1135395,Cytoplasmic
416,slr1643,3334604,3763741,1459785,1058901,2363832,CytoplasmicMembrane
417,slr1934,4581421,3830070,7580573,6477019,4637793,Cytoplasmic
418,slr0063,2858890,1145391,5232162,4196642,4244144,Cytoplasmic
419,slr0105,722050.,307742.,258592.,224332.,385161.,Cytoplasmic
420,slr2024,2745163,3082808,1591261,1648221,636101.,Cytoplasmic
421,slr0513,808099.,750404.,1356317,1473300,941517.,Periplasmic
422,sll0982,1980979,1999944,1403994,1297081,789775.,Unknown
423,sll1019,502888.,332802.,522120.,490614.,469032.,Cytoplasmic
424,slr1385,3408697,2641870,3774911,4556037,4860924,Unknown
425,slr0719,689727.,874677.,752202.,1563312,1957899,Unknown
426,sll0034,657569.,790312.,773984.,622505.,326225.,Cytoplasmic
427,sll0401,3646075,2993574,3425833,2719319,1396965,Cytoplasmic
428,slr0362,850864.,752247.,1262180,1521348,1917881,Cytoplasmic
429,ssr1528,1153113,1618391,5239467,4870318,3630959,Unknown
430,slr1330,4041370,4213619,483451.,452325.,406214.,Unknown
431,sll0504,595790.,941140.,3266133,2415737,2322953,Cytoplasmic
432,slr0626,2492523,2469567,3243280,3109065,4201990,Cytoplasmic
433,sll0221,1214873,602762.,1659430,1686663,2103247,Cytoplasmic
434,sll0728,3628835,3429561,4562328,4581465,3582918,Cytoplasmic
435,slr0293,584583.,681107.,776607.,1215952,2269747,Cytoplasmic
436,slr0869,1295876,1363811,2462678,2671396,1660542,Cytoplasmic
437,sll1130,3908420,3469631,4579683,4490586,7171270,Unknown
438,sll1343,2461444,2383284,3479842,3266202,4482393,Cytoplasmic
439,sll1092,427603.,180109.,888390.,896410.,733935.,Unknown
440,slr0608,1211344,912369.,239812.,1419815,1945615,Cytoplasmic
441,sll1435,6326350,5076127,6559325,6073181,9752705,Cytoplasmic
442,sll1747,3219793,2751970,4600532,4082084,3454475,Cytoplasmic
443,slr1839,4055919,3788530,928429.,1356240,1077692,Unknown
444,slr0743,5071182,3463832,7779552,6434218,6601246,Cytoplasmic
445,slr1616,633699.,436850.,687959.,597028.,1438885,Unknown
446,ssl3436,3300182,3901720,7293771,9474196,9308177,Unknown
447,slr0534,528007.,542298.,1154218,958448.,1362736,Periplasmic
448,sll0088,442398.,323461.,477673.,493387.,204955.,Cytoplasmic
449,sll1945,6293011,5970682,1055094,9201042,1110643,Cytoplasmic
450,slr1861,556739.,440136.,907170.,871760.,1358027,Unknown
451,sll0735,4415969,5769355,1694548,1807978,1296807,Cytoplasmic
452,sll0921,1747342,858538.,2385602,2079876,3085055,Cytoplasmic
453,sll1499,3515073,2996792,5001647,4754694,6605827,Cytoplasmic
454,sll0314,1650194,1592401,2840388,2329567,1936190,Unknown
455,slr6050,801945.,625265.,605148.,506970.,528662.,Cytoplasmic
456,slr0930,1447310,1051966,1850781,1406322,2580961,Cytoplasmic
457,slr1718,4794195,5069253,3980207,2253436,836967.,Unknown
458,slr1840,325488.,250339.,413178.,423412.,606727.,Cytoplasmic
459,slr1900,1006106,557071.,1611596,2199128,1263381,Cytoplasmic
460,slr1042,5379116,4059005,3128419,2902342,2795473,Cytoplasmic
461,slr1847,1223768,1453657,2726284,2066850,1075963,Unknown
462,sll0757,3144080,2595557,2597016,1845884,1795730,Cytoplasmic
463,sll1041,419676.,340336.,228893.,198858.,265275.,CytoplasmicMembrane
464,ssr3402,3276954,5286679,2502986,2644592,2230619,Unknown
465,sll1852,2911558,2611932,1846744,1336369,530688.,Cytoplasmic
466,slr2060,203916.,182523.,175937.,133711.,85671.9,Cytoplasmic
467,slr0399,787960.,963598.,1647812,1795464,2115115,Cytoplasmic
468,sll1338,1231284,976929.,384745.,498483.,321968.,Unknown
469,sll0216,1762090,1248019,1796691,1730434,2506186,Unknown
470,sll1380,3550847,3296461,6089744,5872579,6943413,Unknown
471,sll0529,2667751,1249931,3860295,4445223,3484380,Extracellular
472,slr1724,742141.,335498.,1022665,845632.,1287447,Cytoplasmic
473,slr1950,80402.1,128944.,218116.,212346.,296377.,CytoplasmicMembrane
474,sll0550,554019.,460386.,888268.,892407.,1127784,Cytoplasmic
475,sll0145,1333068,1096759,1512616,1745187,2365457,Cytoplasmic
476,slr1234,6231697,6808058,2307743,2254536,2116163,Cytoplasmic
477,sll0086,1604648,953996.,937875.,851850.,761091.,Cytoplasmic
478,sll1430,4217756,2785296,4138987,3349516,4672621,Cytoplasmic
479,slr0322,3542810,2601584,2227172,1805869,1741300,Cytoplasmic
480,slr0288,1190830,6322996,1540491,1215523,1060905,Cytoplasmic
481,slr0592,127813.,163147.,336880.,346499.,407621.,Unknown
482,slr1735,1732121,717964.,2439392,1638154,919251.,CytoplasmicMembrane
483,sll0078,492697.,615994.,2178069,1429105,1670158,Cytoplasmic
484,sll1091,6786962,6675897,1140850,1385639,9901953,Cytoplasmic
485,slr0302,77816.1,200686.,226571.,92436.9,298092.,Cytoplasmic
486,sll1582,176226.,151423.,230475.,215945.,308530.,Cytoplasmic
487,sll0422,3631728,2856981,5069802,5556279,7327364,Unknown
488,sll0208,4087036,3810891,6888881,1005965,6473061,Cytoplasmic
489,sll1104,186003.,215420.,310695.,326258.,336406.,OuterMembrane
490,slr0661,2191915,1099250,761150.,654933.,511514.,Cytoplasmic
491,slr1986,1911248,2638887,8358844,7226315,4136120,Unknown
492,slr1452,127662.,233163.,606663.,342112.,309199.,Periplasmic
493,slr1105,7241238,4224551,1186534,8291052,9928249,CytoplasmicMembrane
494,sll1382,1077280,923768.,321105.,201721.,114452.,Unknown
495,slr1610,957276.,592049.,662553.,488747.,583067.,Cytoplasmic
496,sll1388,626829.,374530.,248201.,146911.,137059.,Cytoplasmic
497,slr0049,6120854,4328952,4402365,3253861,4597671,Cytoplasmic
498,sll1393,1905810,2036654,3404299,3881859,4571567,Cytoplasmic
499,slr0303,147390.,158815.,262343.,416619.,475714.,Cytoplasmic
500,slr1655,6491059,7548260,2975146,2023735,1408985,CytoplasmicMembrane
501,ssr3341,1864125,2043098,3724879,3414673,4792529,Unknown
502,slr0659,1019589,1029587,1669114,1194287,2643828,Cytoplasmic
503,slr1984,8471946,7561410,1144943,9204166,1453080,Cytoplasmic
504,sll5066,392656.,393759.,602145.,557609.,462810.,Cytoplasmic
505,slr0845,188926.,116100.,251646.,252374.,320970.,Cytoplasmic
506,slr1127,1307192,1864125,393746.,335871.,633039.,Unknown
507,sll0141,103493.,103600.,124991.,106738.,259103.,CytoplasmicMembrane
508,slr0738,2433239,1675025,1285610,915665.,675759.,Cytoplasmic
509,slr1140,2420660,2588004,3428552,4207637,4146583,Cytoplasmic
510,slr1270,275894.,525937.,822572.,979574.,917646.,OuterMembrane
511,slr1703,4775022,3336320,5911163,5940910,7423623,Cytoplasmic
512,ssr3304,850511.,1137665,949662.,991056.,400426.,Unknown
513,sll1545,4042928,3315648,5531131,4748633,4979830,Cytoplasmic
514,slr0574,332103.,215598.,213658.,167650.,88263.3,Cytoplasmic
515,ssl1326,238398.,680809.,710783.,954106.,1034141,Unknown
516,slr1277,4255442,6860440,8801112,9456462,5468323,OuterMembrane
517,slr1874,1939551,1841076,3239590,3122339,4581145,Cytoplasmic
518,sll0381,2260873,2194298,2965277,2148471,2468256,Unknown
519,sll0754,2671625,2121677,1835895,1930149,1420511,Cytoplasmic
520,sll1108,1288954,1389025,2637080,2625056,3370345,Unknown
521,slr1364,479481.,597142.,839172.,839572.,924381.,Cytoplasmic
522,ssl2982,5716730,6587141,9119031,1168783,1408386,Unknown
523,slr0940,1694094,1144338,2215886,2100210,3260370,Unknown
524,sll1053,539713.,247024.,655105.,647660.,483913.,Unknown
525,slr1945,7475690,6748272,6271275,9069815,1647096,Cytoplasmic
526,slr2067,1203881,2928792,5394617,3759165,1719436,Unknown
527,slr0039,2035716,904571.,1238689,826880.,838346.,Cytoplasmic
528,sll1561,3196072,2531741,5369117,3888273,3179371,Cytoplasmic
529,slr0665,9797806,9038051,1367591,1174405,1933337,Cytoplasmic
530,sll0643,2679223,2525928,3007948,2728371,1436860,Cytoplasmic
531,sll0585,1167576,863625.,854548.,742031.,609427.,Cytoplasmic
532,slr1128,2689139,2170651,4499323,3423748,4594893,Unknown
533,slr1842,3260310,4377256,5674994,6488742,6808669,Cytoplasmic
534,slr0965,571123.,554587.,1603566,2100793,1440317,Cytoplasmic
535,slr1508,104719.,138609.,183747.,182861.,283267.,Cytoplasmic
536,slr0114,139528.,141884.,154313.,224321.,330809.,Cytoplasmic
537,sll0485,257076.,202872.,166361.,145822.,180529.,Cytoplasmic
538,slr2131,1980901,1213437,710510.,844063.,1553908,CytoplasmicMembrane
