,protein,X60,X100,X200,X300,X1000
641,sll1760,371329.,272358.,154529.,128151.,213310.
642,slr0545,354660.,257320.,340199.,243844.,386172.
643,sll0830,2003123,1406196,1310907,941805.,970902.
644,slr1223,2755950,1811660,2141020,1913281,2793944
645,slr0338,1767457,923354.,1736790,1653608,2700838
646,slr1189,479481.,427244.,335506.,294333.,234963.
647,sll1628,168687.,116339.,464167.,452450.,576882.
648,sll0902,1377811,1215302,750462.,480552.,268555.
649,sll1654,1158026,1208296,1214745,1474731,1662867
650,slr0326,4549096,6840774,4141592,2658279,1799820
651,sll1656,438741.,366094.,644527.,445027.,689829.
652,slr0261,5346480,4539017,5675350,5813205,9002905
653,sll1030,4232484,4682128,1141640,479366.,308194.
654,slr1096,2643777,2672119,1367430,1585190,1205133
655,slr0900,651902.,566906.,707272.,741933.,1167564
656,sll0659,221218.,214174.,435377.,355702.,409460.
657,sll0286,120718.,98420.6,262543.,151646.,90377.0
658,sll1883,3021989,2262978,2774298,3031412,3112248
659,slr6097,185276.,91131.3,307368.,257912.,389292.
660,slr2005,3330051,3667785,2836478,2542077,1434832
661,slr1103,2107076,1503839,2097774,1616948,1396025
662,sll0541,149637.,221207.,310087.,191889.,120107.
663,slr0680,1127606,1054222,477414.,380776.,536860.
664,slr1577,510092.,354846.,376894.,436813.,225302.
665,slr0550,3106333,2181737,3196062,3011274,2710433
666,slr0032,8735148,9020608,5724947,5108788,3308092
667,sll1712,2974127,7418389,6235974,3299538,2008597
668,sll1675,773443.,643138.,632597.,655213.,806869.
669,slr0080,557877.,606657.,300459.,408381.,485566.
670,sll0057,1801829,1611884,1553359,1685712,1011917
671,sll1138,292232.,175971.,264011.,174585.,256606.
672,sll1735,176133.,174619.,104394.,135354.,272485.
673,slr1024,734413.,596571.,579663.,591075.,580270.
674,slr0966,3437799,2893374,1748451,757988.,727508.
675,sll1226,4050809,2803532,2357243,1949123,2623894
676,slr0912,932989.,825718.,1725255,1445350,1811391
677,slr1410,5276973,4935358,2452763,2286537,1206984
678,slr1240,2935752,2215101,2685359,2213360,1570333
679,slr0990,411921.,478504.,692020.,800014.,1218176
680,sll0293,618177.,602367.,2438948,3316409,2724165
681,slr1104,1840012,1588941,2785657,2135018,2777438
682,slr1991,166214.,234161.,156026.,255384.,668936.
683,sll1071,2300530,1643382,1774509,1430557,2503140
684,slr2094,2715940,2136191,4739253,4119440,3815447
685,sll1056,1255703,1389463,1937337,1984660,3649809
686,ssl0020,1515368,1198939,4659419,4992142,2976787
687,ssl1918,814613.,610994.,651464.,638924.,416551.
688,slr0017,198517.,265762.,345072.,378778.,611689.
689,slr1641,3138142,2485927,1602433,1601307,2405939
690,slr1203,309168.,362147.,318117.,340912.,520962.
691,sll1165,758170.,683585.,1349234,1047828,1279018
692,sml0011,1642368,1435622,776171.,926296.,804702.
693,sll8001,365077.,280139.,276621.,232689.,239152.
694,sll1304,791163.,1225106,1883514,2083623,1491483
695,sll0378,145810.,106339.,217660.,427399.,214309.
696,sll1443,2698328,1844674,3651927,2922668,3004878
697,sll1783,6743106,6718872,5598301,3771121,1056084
698,slr1266,2070521,2382002,3876886,3936712,3481217
699,sll0629,9595047,5376559,6103686,6089233,1142059
700,sll0712,588022.,380275.,631227.,498753.,277664.
701,sll1625,914791.,1136917,609778.,532888.,611677.
702,ssr1480,3681155,2368715,2329322,3325524,761702.
703,slr1848,4648963,3369449,4849281,4207872,5608767
704,slr0089,617040.,511475.,798358.,692326.,409514.
705,slr1041,155871.,102842.,124853.,93417.6,100841.
706,slr1898,1008836,2339269,1287125,853478.,890711.
707,sll0558,1564946,1314464,1141407,1053190,952212.
708,sll0759,306390.,265473.,192781.,127461.,102946.
709,slr0516,2928632,2368588,3730946,3879952,3488481
710,sll0533,1303165,1312279,1397263,1187634,7679715
711,slr2097,6111370,5726740,5582092,4404931,3627290
712,slr1161,3538232,3286331,4579928,3393531,3158869
713,sll0436,888077.,1057276,1673260,2153292,3610222
714,slr1949,1648355,1306866,1348368,1470876,889645.
715,sll1262,507172.,311305.,870707.,1061273,762175.
716,sll1096,1552433,1479783,2424851,2635023,2150804
717,slr0637,1327116,951468.,1835957,1673608,2017232
718,sll0888,665832.,581763.,343475.,301530.,134043.
719,sll1372,177145.,124385.,176320.,171445.,444664.
720,sll0048,859845.,588229.,540999.,532905.,643766.
721,ssl0563,7516148,7593448,1799770,1913684,1862820
722,sll0402,1232837,932905.,902855.,1069328,775837.
723,slr0721,2285370,1111042,2901476,2652387,1881355
724,sll1892,1123034,854093.,542499.,467011.,324517.
725,sll1324,201409.,219160.,191888.,120302.,750257.
726,slr1819,1037993,597057.,1017550,810890.,516663.
727,slr0260,263813.,221607.,675420.,476523.,452174.
728,slr1325,1218369,864691.,1649059,1622794,1414631
729,sll0587,1722663,1156283,1552902,1516811,1956220
730,slr5071,476925.,211190.,359485.,232846.,157455.
731,slr1398,246591.,210079.,247035.,179440.,81282.4
732,slr1693,1305814,945767.,1590632,1389606,1805856
733,ssl3093,1055635,1109172,9437064,1040725,4270223
734,sll0043,302911.,391365.,367463.,388913.,510210.
735,slr0007,2673626,2939474,2600744,2218085,987609.
736,slr0804,2068681,3164980,3793835,4020396,3025092
737,ssl0352,1216942,1578626,1643156,2388592,2341225
738,sll0044,202406.,145471.,164273.,105457.,42943.4
739,slr0862,989586.,1676147,264082.,582524.,981918.
740,sll1070,1832398,1905850,3272372,2968385,3385110
741,ssr2799,1932306,1890659,2507896,2741062,1706573
742,ssl2296,2852798,2915192,3743409,4112935,5383453
743,ssl0461,2719357,1927548,3327273,6862238,4648058
744,slr1722,1727665,3299553,1108384,1018323,786930.
745,ssl2814,91983.0,143958.,69513.0,64735.4,202111.
746,ssr2201,316614.,231135.,258348.,163380.,128046.
747,slr0993,602619.,923878.,1643182,2397473,1541187
748,slr1255,313270.,351677.,1069734,540136.,1095362
749,ssl0467,8502676,1042928,2849580,2040294,1233116
750,slr0453,1282171,974323.,1316138,885784.,1099848
751,slr9201,1278949,1498102,1310534,1349125,3185293
752,slr0431,156562.,334294.,87272.5,77471.0,199227.
753,sll1873,7529125,7343942,1641603,4796417,4249377
754,slr1974,762388.,499596.,898505.,832674.,696261.
755,slr0924,2087939,2800516,4022718,4907083,5079830
756,sll1290,1079654,873087.,1270439,1315708,1620147
757,sll1084,95720.9,180538.,95352.8,74024.4,193122.
758,sll1142,2289918,1527014,1873143,2657493,3039869
759,sll0171,1504801,1236275,1663366,1454888,1001600
760,slr0013,1062485,1140978,914133.,1194011,2055790
761,sll0400,196157.,253012.,163329.,156402.,116907.
762,sll0180,5830936,5760412,5795893,5119875,8343976
763,sll1483,553571.,1581927,433884.,609521.,785512.
764,sll1767,868577.,722101.,413339.,194557.,98884.6
765,ssr2857,2263764,2850701,1716306,1642831,1245010
766,sll0072,349202.,210930.,317460.,265536.,249635.
767,sll0726,2363101,1966719,2600445,2454362,3595814
768,sll1709,348221.,295794.,518626.,385740.,596457.
769,slr2032,117606.,221814.,116255.,186709.,96842.3
770,slr0335,7070304,5453387,9368479,7463677,8506715
771,slr2143,629826.,568891.,545437.,503412.,634516.
772,slr0442,2746985,1717761,1970629,1951326,1889871
773,slr2047,1154167,1774455,1210680,1667108,3024014
774,sll1514,503675.,1672181,1465200,334657.,924833.
775,slr0861,1652304,1150101,1919633,1698632,1659111
776,ssl2717,831533.,842081.,845996.,1031444,1236068
777,slr0147,1250596,632528.,1202005,780863.,470979.
778,sll0325,190211.,156256.,168812.,194220.,292484.
779,slr0079,1108931,910298.,1228595,978400.,1362219
780,sll1362,893882.,831425.,790594.,1167319,1652929
781,slr0185,6314056,4009463,6152741,5288900,4229640
782,sll0023,781917.,788548.,964382.,859793.,1547911
783,ssl1493,185125.,195726.,555361.,309256.,723655.
784,sll0900,4758961,3575597,3781412,3701056,2311890
785,slr0689,146070.,140735.,306580.,233660.,314686.
786,slr6110,553515.,353626.,292067.,195310.,238155.
787,sll1933,161213.,186389.,204143.,232664.,327982.
788,sll1743,1579785,1681879,5653250,5279184,1240466
789,slr1983,555607.,567033.,798880.,682697.,1062080
790,slr1076,964343.,523203.,685590.,725949.,939727.
791,slr2025,5700608,8564139,1131932,1169305,1024034
792,sll1270,244323.,208847.,438709.,400482.,467645.
793,slr0370,2812163,1937613,1793029,1602549,2461595
